global_step,train_loss,mcc,f1,eval_loss
459,0.5208458304405212,0.2814907944191586,0.39651416122004357,1.7390517210182936
918,0.9090341329574585,0.39108736334354405,0.485838779956427,1.4965728534304577
1377,1.0507330894470215,0.4650082588969843,0.5533769063180828,1.3841683579527813
1836,0.7136042714118958,0.48250178748661154,0.5675381263616558,1.5305985873160155
2000,0.19036579132080078,0.49016550830772293,0.5762527233115469,1.5410612873409106
2295,0.631211519241333,0.4927391791483645,0.5784313725490197,1.5081956762334574
