,Company,Product,Total State Complaints
0,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,329
1,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
2,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,73
3,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,65
4,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,23
5,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,66
6,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,25
7,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,6
8,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,19
9,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,34
10,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
11,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,251
12,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,8
13,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,28
14,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,16
15,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
16,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,15
17,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
18,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
19,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
20,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,39
21,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,8
22,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
23,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,35
24,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
25,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,14
26,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,15
27,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,4
28,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
29,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,7
30,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,3
31,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
32,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
33,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
34,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,8
35,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,10
36,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,9
37,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
38,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,11
39,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
40,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
41,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,9
42,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
43,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,21
44,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
45,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
46,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
47,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,4
48,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,3
49,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,2
50,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
51,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
52,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
53,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
54,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
55,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
56,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
57,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,1
58,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
59,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
60,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
61,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
62,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
63,HSBC NORTH AMERICA HOLDINGS INC.,Checking or savings account,0
64,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,157
65,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
66,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,62
67,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,49
68,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,30
69,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,38
70,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,14
71,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,6
72,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,19
73,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,18
74,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
75,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,127
76,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,10
77,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,18
78,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,21
79,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
80,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,9
81,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,7
82,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,2
83,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,2
84,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,10
85,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,4
86,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,4
87,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,32
88,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
89,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,7
90,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,2
91,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,6
92,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
93,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,16
94,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,4
95,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,3
96,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
97,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
98,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,4
99,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,7
100,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,6
101,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
102,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,10
103,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
104,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
105,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,17
106,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
107,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,13
108,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
109,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
110,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
111,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,3
112,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
113,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
114,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
115,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,5
116,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
117,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
118,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,1
119,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
120,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
121,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
122,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
123,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
124,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
125,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
126,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
127,HSBC NORTH AMERICA HOLDINGS INC.,Credit card or prepaid card,0
128,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",51
129,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
130,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",10
131,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",11
132,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",3
133,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",11
134,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
135,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
136,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
137,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",6
138,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
139,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",39
140,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",4
141,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
142,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
143,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
144,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",5
145,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",4
146,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
147,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
148,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",5
149,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
150,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
151,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",6
152,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
153,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",2
154,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
155,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
156,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
157,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",14
158,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
159,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
160,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
161,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
162,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
163,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
164,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
165,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
166,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
167,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
168,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
169,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
170,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
171,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",3
172,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
173,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
174,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
175,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
176,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
177,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
178,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
179,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
180,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
181,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
182,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",1
183,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
184,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
185,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
186,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
187,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
188,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
189,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
190,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
191,HSBC NORTH AMERICA HOLDINGS INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
192,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,159
193,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,3
194,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,152
195,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,121
196,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,65
197,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,71
198,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,28
199,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,24
200,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,57
201,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,55
202,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,32
203,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,226
204,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,47
205,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,40
206,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,35
207,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,7
208,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,37
209,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,23
210,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,9
211,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,6
212,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,38
213,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,7
214,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,10
215,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,58
216,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,14
217,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,26
218,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,4
219,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,13
220,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
221,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,11
222,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,16
223,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,6
224,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,12
225,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,4
226,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,15
227,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,16
228,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,21
229,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,5
230,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,12
231,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,5
232,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,5
233,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,24
234,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,15
235,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,14
236,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,3
237,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,2
238,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
239,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,8
240,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,4
241,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,4
242,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,1
243,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,6
244,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
245,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
246,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,1
247,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,2
248,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
249,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,1
250,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
251,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
252,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
253,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
254,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
255,HSBC NORTH AMERICA HOLDINGS INC.,Debt collection,0
256,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",31
257,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
258,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",10
259,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",6
260,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
261,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",8
262,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",4
263,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
264,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",3
265,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",4
266,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
267,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",28
268,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
269,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
270,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
271,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
272,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
273,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
274,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
275,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
276,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",4
277,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
278,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
279,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",4
280,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
281,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
282,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
283,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
284,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
285,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
286,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
287,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
288,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
289,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
290,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
291,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
292,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
293,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
294,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",4
295,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",1
296,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
297,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
298,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
299,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",2
300,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
301,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
302,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
303,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",3
304,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
305,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
306,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
307,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
308,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
309,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
310,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
311,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
312,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
313,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
314,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
315,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
316,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
317,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
318,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
319,HSBC NORTH AMERICA HOLDINGS INC.,"Money transfer, virtual currency, or money service",0
320,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
321,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
322,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
323,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
324,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
325,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
326,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
327,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
328,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,1
329,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
330,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,1
331,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
332,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
333,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
334,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
335,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
336,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
337,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
338,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
339,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
340,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
341,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
342,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
343,HSBC NORTH AMERICA HOLDINGS INC.,Student loan,0
