,Company,Product,Total Company response to consumer Complaints
80,HSBC NORTH AMERICA HOLDINGS INC.,"Payday loan, title loan, or personal loan",0
81,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,568
82,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,0
83,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,135
84,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,36
85,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,0
86,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,226
87,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,39
88,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,14
89,HSBC NORTH AMERICA HOLDINGS INC.,Bank account or service,0
90,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,489
91,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,0
92,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,52
93,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,15
94,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,0
95,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,45
96,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,54
97,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,12
98,HSBC NORTH AMERICA HOLDINGS INC.,Credit card,0
99,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,43
100,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
101,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
102,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
103,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
104,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,5
105,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
106,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
107,HSBC NORTH AMERICA HOLDINGS INC.,Credit reporting,0
108,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,163
109,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,0
110,HSBC NORTH AMERICA HOLDINGS INC.,Consumer Loan,3
