,Company,Product,Total Company response to consumer Complaints
946,BARCLAYS BANK DELAWARE,Debt collection,7
947,BARCLAYS BANK DELAWARE,Debt collection,31
948,BARCLAYS BANK DELAWARE,Debt collection,24
949,BARCLAYS BANK DELAWARE,Debt collection,0
950,BARCLAYS BANK DELAWARE,Debt collection,1
951,BARCLAYS BANK DELAWARE,Debt collection,0
952,BARCLAYS BANK DELAWARE,Debt collection,0
953,BARCLAYS BANK DELAWARE,Debt collection,0
954,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",26
955,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",2
956,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
957,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
958,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
959,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
960,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
961,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
962,BARCLAYS BANK DELAWARE,"Money transfer, virtual currency, or money service",0
963,BARCLAYS BANK DELAWARE,Student loan,0
964,BARCLAYS BANK DELAWARE,Student loan,0
965,BARCLAYS BANK DELAWARE,Student loan,1
966,BARCLAYS BANK DELAWARE,Student loan,0
967,BARCLAYS BANK DELAWARE,Student loan,0
968,BARCLAYS BANK DELAWARE,Student loan,0
969,BARCLAYS BANK DELAWARE,Student loan,0
970,BARCLAYS BANK DELAWARE,Student loan,0
971,BARCLAYS BANK DELAWARE,Student loan,0
972,BARCLAYS BANK DELAWARE,Vehicle loan or lease,1
973,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
974,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
975,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
976,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
977,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
978,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
979,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
980,BARCLAYS BANK DELAWARE,Vehicle loan or lease,0
981,BARCLAYS BANK DELAWARE,Mortgage,23
982,BARCLAYS BANK DELAWARE,Mortgage,0
983,BARCLAYS BANK DELAWARE,Mortgage,2
984,BARCLAYS BANK DELAWARE,Mortgage,0
985,BARCLAYS BANK DELAWARE,Mortgage,0
986,BARCLAYS BANK DELAWARE,Mortgage,0
987,BARCLAYS BANK DELAWARE,Mortgage,0
988,BARCLAYS BANK DELAWARE,Mortgage,0
989,BARCLAYS BANK DELAWARE,Mortgage,0
990,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",40
991,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",2
992,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",15
993,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",1
994,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",0
995,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",0
996,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",0
997,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",0
998,BARCLAYS BANK DELAWARE,"Payday loan, title loan, or personal loan",0
999,BARCLAYS BANK DELAWARE,Bank account or service,97
1000,BARCLAYS BANK DELAWARE,Bank account or service,0
1001,BARCLAYS BANK DELAWARE,Bank account or service,21
1002,BARCLAYS BANK DELAWARE,Bank account or service,11
1003,BARCLAYS BANK DELAWARE,Bank account or service,0
1004,BARCLAYS BANK DELAWARE,Bank account or service,0
1005,BARCLAYS BANK DELAWARE,Bank account or service,0
1006,BARCLAYS BANK DELAWARE,Bank account or service,0
1007,BARCLAYS BANK DELAWARE,Bank account or service,0
1008,BARCLAYS BANK DELAWARE,Credit card,2012
1009,BARCLAYS BANK DELAWARE,Credit card,0
1010,BARCLAYS BANK DELAWARE,Credit card,974
1011,BARCLAYS BANK DELAWARE,Credit card,303
1012,BARCLAYS BANK DELAWARE,Credit card,1
1013,BARCLAYS BANK DELAWARE,Credit card,4
1014,BARCLAYS BANK DELAWARE,Credit card,102
1015,BARCLAYS BANK DELAWARE,Credit card,118
1016,BARCLAYS BANK DELAWARE,Credit card,0
1017,BARCLAYS BANK DELAWARE,Credit reporting,63
1018,BARCLAYS BANK DELAWARE,Credit reporting,0
1019,BARCLAYS BANK DELAWARE,Credit reporting,2
1020,BARCLAYS BANK DELAWARE,Credit reporting,11
1021,BARCLAYS BANK DELAWARE,Credit reporting,0
1022,BARCLAYS BANK DELAWARE,Credit reporting,0
1023,BARCLAYS BANK DELAWARE,Credit reporting,0
1024,BARCLAYS BANK DELAWARE,Credit reporting,0
1025,BARCLAYS BANK DELAWARE,Credit reporting,0
1026,BARCLAYS BANK DELAWARE,Consumer Loan,10
1027,BARCLAYS BANK DELAWARE,Consumer Loan,0
1028,BARCLAYS BANK DELAWARE,Consumer Loan,7
1029,BARCLAYS BANK DELAWARE,Consumer Loan,3
1030,BARCLAYS BANK DELAWARE,Consumer Loan,0
1031,BARCLAYS BANK DELAWARE,Consumer Loan,0
1032,BARCLAYS BANK DELAWARE,Consumer Loan,0
1033,BARCLAYS BANK DELAWARE,Consumer Loan,0
1034,BARCLAYS BANK DELAWARE,Consumer Loan,0
1035,BARCLAYS BANK DELAWARE,Prepaid card,1
1036,BARCLAYS BANK DELAWARE,Prepaid card,0
1037,BARCLAYS BANK DELAWARE,Prepaid card,0
1038,BARCLAYS BANK DELAWARE,Prepaid card,0
1039,BARCLAYS BANK DELAWARE,Prepaid card,0
1040,BARCLAYS BANK DELAWARE,Prepaid card,0
1041,BARCLAYS BANK DELAWARE,Prepaid card,0
1042,BARCLAYS BANK DELAWARE,Prepaid card,0
1043,BARCLAYS BANK DELAWARE,Prepaid card,0
1044,BARCLAYS BANK DELAWARE,Money transfers,2
1045,BARCLAYS BANK DELAWARE,Money transfers,0
1046,BARCLAYS BANK DELAWARE,Money transfers,1
1047,BARCLAYS BANK DELAWARE,Money transfers,0
1048,BARCLAYS BANK DELAWARE,Money transfers,0
1049,BARCLAYS BANK DELAWARE,Money transfers,1
1050,BARCLAYS BANK DELAWARE,Money transfers,0
1051,BARCLAYS BANK DELAWARE,Money transfers,0
1052,BARCLAYS BANK DELAWARE,Money transfers,0
1053,BARCLAYS BANK DELAWARE,Other financial service,1
1054,BARCLAYS BANK DELAWARE,Other financial service,0
1055,BARCLAYS BANK DELAWARE,Other financial service,1
1056,BARCLAYS BANK DELAWARE,Other financial service,0
1057,BARCLAYS BANK DELAWARE,Other financial service,0
1058,BARCLAYS BANK DELAWARE,Other financial service,0
1059,BARCLAYS BANK DELAWARE,Other financial service,0
1060,BARCLAYS BANK DELAWARE,Other financial service,0
1061,BARCLAYS BANK DELAWARE,Other financial service,0
1062,BARCLAYS BANK DELAWARE,Payday loan,0
1063,BARCLAYS BANK DELAWARE,Payday loan,0
1064,BARCLAYS BANK DELAWARE,Payday loan,0
1065,BARCLAYS BANK DELAWARE,Payday loan,0
1066,BARCLAYS BANK DELAWARE,Payday loan,0
1067,BARCLAYS BANK DELAWARE,Payday loan,0
1068,BARCLAYS BANK DELAWARE,Payday loan,0
1069,BARCLAYS BANK DELAWARE,Payday loan,0
1070,BARCLAYS BANK DELAWARE,Payday loan,0
1071,AES/PHEAA,Checking or savings account,4
1072,AES/PHEAA,Checking or savings account,0
1073,AES/PHEAA,Checking or savings account,0
1074,AES/PHEAA,Checking or savings account,0
1075,AES/PHEAA,Checking or savings account,0
1076,AES/PHEAA,Checking or savings account,0
1077,AES/PHEAA,Checking or savings account,0
1078,AES/PHEAA,Checking or savings account,0
1079,AES/PHEAA,Checking or savings account,0
1080,AES/PHEAA,Credit card or prepaid card,23
1081,AES/PHEAA,Credit card or prepaid card,0
1082,AES/PHEAA,Credit card or prepaid card,0
1083,AES/PHEAA,Credit card or prepaid card,2
1084,AES/PHEAA,Credit card or prepaid card,0
1085,AES/PHEAA,Credit card or prepaid card,0
1086,AES/PHEAA,Credit card or prepaid card,0
1087,AES/PHEAA,Credit card or prepaid card,0
1088,AES/PHEAA,Credit card or prepaid card,0
1089,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",1461
1090,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",42
1091,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",3
1092,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",394
1093,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",0
1094,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",0
1095,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",0
1096,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",0
1097,AES/PHEAA,"Credit reporting, credit repair services, or other personal consumer reports",0
1098,AES/PHEAA,Debt collection,721
1099,AES/PHEAA,Debt collection,7
1100,AES/PHEAA,Debt collection,6
1101,AES/PHEAA,Debt collection,122
1102,AES/PHEAA,Debt collection,0
1103,AES/PHEAA,Debt collection,0
1104,AES/PHEAA,Debt collection,0
1105,AES/PHEAA,Debt collection,0
1106,AES/PHEAA,Debt collection,0
1107,AES/PHEAA,"Money transfer, virtual currency, or money service",5
1108,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1109,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1110,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1111,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1112,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1113,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1114,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1115,AES/PHEAA,"Money transfer, virtual currency, or money service",0
1116,AES/PHEAA,Student loan,8297
1117,AES/PHEAA,Student loan,165
1118,AES/PHEAA,Student loan,224
1119,AES/PHEAA,Student loan,2589
1120,AES/PHEAA,Student loan,0
1121,AES/PHEAA,Student loan,0
1122,AES/PHEAA,Student loan,116
1123,AES/PHEAA,Student loan,0
1124,AES/PHEAA,Student loan,0
1125,AES/PHEAA,Vehicle loan or lease,0
1126,AES/PHEAA,Vehicle loan or lease,0
1127,AES/PHEAA,Vehicle loan or lease,0
1128,AES/PHEAA,Vehicle loan or lease,0
1129,AES/PHEAA,Vehicle loan or lease,0
1130,AES/PHEAA,Vehicle loan or lease,0
1131,AES/PHEAA,Vehicle loan or lease,0
1132,AES/PHEAA,Vehicle loan or lease,0
1133,AES/PHEAA,Vehicle loan or lease,0
1134,AES/PHEAA,Mortgage,0
1135,AES/PHEAA,Mortgage,0
1136,AES/PHEAA,Mortgage,0
1137,AES/PHEAA,Mortgage,1
1138,AES/PHEAA,Mortgage,0
1139,AES/PHEAA,Mortgage,0
1140,AES/PHEAA,Mortgage,0
1141,AES/PHEAA,Mortgage,0
1142,AES/PHEAA,Mortgage,0
1143,AES/PHEAA,"Payday loan, title loan, or personal loan",7
1144,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1145,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1146,AES/PHEAA,"Payday loan, title loan, or personal loan",3
1147,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1148,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1149,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1150,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1151,AES/PHEAA,"Payday loan, title loan, or personal loan",0
1152,AES/PHEAA,Bank account or service,4
1153,AES/PHEAA,Bank account or service,0
1154,AES/PHEAA,Bank account or service,1
1155,AES/PHEAA,Bank account or service,0
1156,AES/PHEAA,Bank account or service,0
1157,AES/PHEAA,Bank account or service,0
1158,AES/PHEAA,Bank account or service,0
1159,AES/PHEAA,Bank account or service,0
1160,AES/PHEAA,Bank account or service,0
1161,AES/PHEAA,Credit card,0
1162,AES/PHEAA,Credit card,0
1163,AES/PHEAA,Credit card,0
1164,AES/PHEAA,Credit card,1
1165,AES/PHEAA,Credit card,0
1166,AES/PHEAA,Credit card,0
1167,AES/PHEAA,Credit card,0
1168,AES/PHEAA,Credit card,0
1169,AES/PHEAA,Credit card,0
1170,AES/PHEAA,Credit reporting,13
1171,AES/PHEAA,Credit reporting,0
1172,AES/PHEAA,Credit reporting,0
1173,AES/PHEAA,Credit reporting,4
1174,AES/PHEAA,Credit reporting,0
1175,AES/PHEAA,Credit reporting,0
1176,AES/PHEAA,Credit reporting,0
1177,AES/PHEAA,Credit reporting,0
1178,AES/PHEAA,Credit reporting,0
1179,AES/PHEAA,Consumer Loan,4
1180,AES/PHEAA,Consumer Loan,0
1181,AES/PHEAA,Consumer Loan,1
1182,AES/PHEAA,Consumer Loan,0
1183,AES/PHEAA,Consumer Loan,0
1184,AES/PHEAA,Consumer Loan,0
1185,AES/PHEAA,Consumer Loan,0
1186,AES/PHEAA,Consumer Loan,0
1187,AES/PHEAA,Consumer Loan,0
1188,AES/PHEAA,Prepaid card,0
1189,AES/PHEAA,Prepaid card,0
1190,AES/PHEAA,Prepaid card,0
1191,AES/PHEAA,Prepaid card,0
1192,AES/PHEAA,Prepaid card,0
1193,AES/PHEAA,Prepaid card,0
1194,AES/PHEAA,Prepaid card,0
1195,AES/PHEAA,Prepaid card,0
1196,AES/PHEAA,Prepaid card,0
1197,AES/PHEAA,Money transfers,0
1198,AES/PHEAA,Money transfers,0
1199,AES/PHEAA,Money transfers,0
1200,AES/PHEAA,Money transfers,0
1201,AES/PHEAA,Money transfers,0
1202,AES/PHEAA,Money transfers,0
1203,AES/PHEAA,Money transfers,0
1204,AES/PHEAA,Money transfers,0
1205,AES/PHEAA,Money transfers,0
1206,AES/PHEAA,Other financial service,2
1207,AES/PHEAA,Other financial service,0
1208,AES/PHEAA,Other financial service,0
1209,AES/PHEAA,Other financial service,0
1210,AES/PHEAA,Other financial service,0
1211,AES/PHEAA,Other financial service,0
1212,AES/PHEAA,Other financial service,0
1213,AES/PHEAA,Other financial service,0
1214,AES/PHEAA,Other financial service,0
1215,AES/PHEAA,Payday loan,0
1216,AES/PHEAA,Payday loan,0
1217,AES/PHEAA,Payday loan,0
1218,AES/PHEAA,Payday loan,0
1219,AES/PHEAA,Payday loan,0
1220,AES/PHEAA,Payday loan,0
1221,AES/PHEAA,Payday loan,0
1222,AES/PHEAA,Payday loan,0
1223,AES/PHEAA,Payday loan,0
1224,Ditech Financial LLC,Checking or savings account,3
1225,Ditech Financial LLC,Checking or savings account,0
1226,Ditech Financial LLC,Checking or savings account,0
1227,Ditech Financial LLC,Checking or savings account,1
1228,Ditech Financial LLC,Checking or savings account,0
1229,Ditech Financial LLC,Checking or savings account,0
1230,Ditech Financial LLC,Checking or savings account,0
1231,Ditech Financial LLC,Checking or savings account,0
1232,Ditech Financial LLC,Checking or savings account,0
1233,Ditech Financial LLC,Credit card or prepaid card,1
1234,Ditech Financial LLC,Credit card or prepaid card,0
1235,Ditech Financial LLC,Credit card or prepaid card,0
1236,Ditech Financial LLC,Credit card or prepaid card,0
1237,Ditech Financial LLC,Credit card or prepaid card,0
1238,Ditech Financial LLC,Credit card or prepaid card,0
1239,Ditech Financial LLC,Credit card or prepaid card,0
1240,Ditech Financial LLC,Credit card or prepaid card,0
1241,Ditech Financial LLC,Credit card or prepaid card,0
1242,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",200
1243,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1244,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1245,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",13
1246,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1247,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1248,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1249,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1250,Ditech Financial LLC,"Credit reporting, credit repair services, or other personal consumer reports",0
1251,Ditech Financial LLC,Debt collection,846
1252,Ditech Financial LLC,Debt collection,0
1253,Ditech Financial LLC,Debt collection,4
1254,Ditech Financial LLC,Debt collection,55
1255,Ditech Financial LLC,Debt collection,0
1256,Ditech Financial LLC,Debt collection,4
1257,Ditech Financial LLC,Debt collection,0
1258,Ditech Financial LLC,Debt collection,0
1259,Ditech Financial LLC,Debt collection,0
1260,Ditech Financial LLC,"Money transfer, virtual currency, or money service",2
1261,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1262,Ditech Financial LLC,"Money transfer, virtual currency, or money service",1
1263,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1264,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1265,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1266,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1267,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1268,Ditech Financial LLC,"Money transfer, virtual currency, or money service",0
1269,Ditech Financial LLC,Student loan,0
1270,Ditech Financial LLC,Student loan,0
1271,Ditech Financial LLC,Student loan,0
1272,Ditech Financial LLC,Student loan,0
1273,Ditech Financial LLC,Student loan,0
1274,Ditech Financial LLC,Student loan,0
1275,Ditech Financial LLC,Student loan,0
1276,Ditech Financial LLC,Student loan,0
1277,Ditech Financial LLC,Student loan,0
1278,Ditech Financial LLC,Vehicle loan or lease,5
1279,Ditech Financial LLC,Vehicle loan or lease,0
1280,Ditech Financial LLC,Vehicle loan or lease,0
1281,Ditech Financial LLC,Vehicle loan or lease,0
1282,Ditech Financial LLC,Vehicle loan or lease,0
1283,Ditech Financial LLC,Vehicle loan or lease,0
1284,Ditech Financial LLC,Vehicle loan or lease,0
1285,Ditech Financial LLC,Vehicle loan or lease,0
1286,Ditech Financial LLC,Vehicle loan or lease,0
1287,Ditech Financial LLC,Mortgage,12405
1288,Ditech Financial LLC,Mortgage,0
1289,Ditech Financial LLC,Mortgage,221
1290,Ditech Financial LLC,Mortgage,701
1291,Ditech Financial LLC,Mortgage,1
1292,Ditech Financial LLC,Mortgage,56
1293,Ditech Financial LLC,Mortgage,229
1294,Ditech Financial LLC,Mortgage,16
1295,Ditech Financial LLC,Mortgage,0
1296,Ditech Financial LLC,"Payday loan, title loan, or personal loan",23
1297,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1298,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1299,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1300,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1301,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1302,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1303,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1304,Ditech Financial LLC,"Payday loan, title loan, or personal loan",0
1305,Ditech Financial LLC,Bank account or service,32
1306,Ditech Financial LLC,Bank account or service,0
1307,Ditech Financial LLC,Bank account or service,1
1308,Ditech Financial LLC,Bank account or service,0
1309,Ditech Financial LLC,Bank account or service,0
1310,Ditech Financial LLC,Bank account or service,0
1311,Ditech Financial LLC,Bank account or service,0
1312,Ditech Financial LLC,Bank account or service,0
1313,Ditech Financial LLC,Bank account or service,0
1314,Ditech Financial LLC,Credit card,0
1315,Ditech Financial LLC,Credit card,0
1316,Ditech Financial LLC,Credit card,0
1317,Ditech Financial LLC,Credit card,0
1318,Ditech Financial LLC,Credit card,0
1319,Ditech Financial LLC,Credit card,0
1320,Ditech Financial LLC,Credit card,0
1321,Ditech Financial LLC,Credit card,0
1322,Ditech Financial LLC,Credit card,0
1323,Ditech Financial LLC,Credit reporting,26
1324,Ditech Financial LLC,Credit reporting,0
1325,Ditech Financial LLC,Credit reporting,1
1326,Ditech Financial LLC,Credit reporting,0
1327,Ditech Financial LLC,Credit reporting,0
1328,Ditech Financial LLC,Credit reporting,1
1329,Ditech Financial LLC,Credit reporting,0
1330,Ditech Financial LLC,Credit reporting,0
1331,Ditech Financial LLC,Credit reporting,0
1332,Ditech Financial LLC,Consumer Loan,85
1333,Ditech Financial LLC,Consumer Loan,0
1334,Ditech Financial LLC,Consumer Loan,2
1335,Ditech Financial LLC,Consumer Loan,10
1336,Ditech Financial LLC,Consumer Loan,0
1337,Ditech Financial LLC,Consumer Loan,1
1338,Ditech Financial LLC,Consumer Loan,0
1339,Ditech Financial LLC,Consumer Loan,0
1340,Ditech Financial LLC,Consumer Loan,0
1341,Ditech Financial LLC,Prepaid card,0
1342,Ditech Financial LLC,Prepaid card,0
1343,Ditech Financial LLC,Prepaid card,0
1344,Ditech Financial LLC,Prepaid card,0
1345,Ditech Financial LLC,Prepaid card,0
1346,Ditech Financial LLC,Prepaid card,0
1347,Ditech Financial LLC,Prepaid card,0
1348,Ditech Financial LLC,Prepaid card,0
1349,Ditech Financial LLC,Prepaid card,0
1350,Ditech Financial LLC,Money transfers,0
1351,Ditech Financial LLC,Money transfers,0
1352,Ditech Financial LLC,Money transfers,0
1353,Ditech Financial LLC,Money transfers,0
1354,Ditech Financial LLC,Money transfers,0
1355,Ditech Financial LLC,Money transfers,0
1356,Ditech Financial LLC,Money transfers,0
1357,Ditech Financial LLC,Money transfers,0
1358,Ditech Financial LLC,Money transfers,0
1359,Ditech Financial LLC,Other financial service,4
1360,Ditech Financial LLC,Other financial service,0
1361,Ditech Financial LLC,Other financial service,2
1362,Ditech Financial LLC,Other financial service,0
1363,Ditech Financial LLC,Other financial service,0
1364,Ditech Financial LLC,Other financial service,0
1365,Ditech Financial LLC,Other financial service,0
1366,Ditech Financial LLC,Other financial service,0
1367,Ditech Financial LLC,Other financial service,0
1368,Ditech Financial LLC,Payday loan,1
1369,Ditech Financial LLC,Payday loan,0
1370,Ditech Financial LLC,Payday loan,0
1371,Ditech Financial LLC,Payday loan,0
1372,Ditech Financial LLC,Payday loan,0
1373,Ditech Financial LLC,Payday loan,0
1374,Ditech Financial LLC,Payday loan,0
1375,Ditech Financial LLC,Payday loan,0
1376,Ditech Financial LLC,Payday loan,0
1377,"Paypal Holdings, Inc",Checking or savings account,494
1378,"Paypal Holdings, Inc",Checking or savings account,1
1379,"Paypal Holdings, Inc",Checking or savings account,96
1380,"Paypal Holdings, Inc",Checking or savings account,221
1381,"Paypal Holdings, Inc",Checking or savings account,0
1382,"Paypal Holdings, Inc",Checking or savings account,0
1383,"Paypal Holdings, Inc",Checking or savings account,0
1384,"Paypal Holdings, Inc",Checking or savings account,0
1385,"Paypal Holdings, Inc",Checking or savings account,0
1386,"Paypal Holdings, Inc",Credit card or prepaid card,374
1387,"Paypal Holdings, Inc",Credit card or prepaid card,0
1388,"Paypal Holdings, Inc",Credit card or prepaid card,149
1389,"Paypal Holdings, Inc",Credit card or prepaid card,144
1390,"Paypal Holdings, Inc",Credit card or prepaid card,0
1391,"Paypal Holdings, Inc",Credit card or prepaid card,0
1392,"Paypal Holdings, Inc",Credit card or prepaid card,0
1393,"Paypal Holdings, Inc",Credit card or prepaid card,0
1394,"Paypal Holdings, Inc",Credit card or prepaid card,0
1395,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",78
1396,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",0
1397,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",2
1398,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",19
1399,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",0
1400,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",0
1401,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",0
1402,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",0
1403,"Paypal Holdings, Inc","Credit reporting, credit repair services, or other personal consumer reports",0
1404,"Paypal Holdings, Inc",Debt collection,312
1405,"Paypal Holdings, Inc",Debt collection,0
1406,"Paypal Holdings, Inc",Debt collection,133
1407,"Paypal Holdings, Inc",Debt collection,455
1408,"Paypal Holdings, Inc",Debt collection,0
1409,"Paypal Holdings, Inc",Debt collection,3
1410,"Paypal Holdings, Inc",Debt collection,0
1411,"Paypal Holdings, Inc",Debt collection,0
1412,"Paypal Holdings, Inc",Debt collection,0
1413,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",7102
1414,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",1
1415,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",1111
1416,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",1811
1417,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",0
1418,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",0
1419,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",0
1420,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",0
1421,"Paypal Holdings, Inc","Money transfer, virtual currency, or money service",0
1422,"Paypal Holdings, Inc",Student loan,0
1423,"Paypal Holdings, Inc",Student loan,0
1424,"Paypal Holdings, Inc",Student loan,0
1425,"Paypal Holdings, Inc",Student loan,0
1426,"Paypal Holdings, Inc",Student loan,0
1427,"Paypal Holdings, Inc",Student loan,0
1428,"Paypal Holdings, Inc",Student loan,0
1429,"Paypal Holdings, Inc",Student loan,0
1430,"Paypal Holdings, Inc",Student loan,0
1431,"Paypal Holdings, Inc",Vehicle loan or lease,0
1432,"Paypal Holdings, Inc",Vehicle loan or lease,0
1433,"Paypal Holdings, Inc",Vehicle loan or lease,0
1434,"Paypal Holdings, Inc",Vehicle loan or lease,0
1435,"Paypal Holdings, Inc",Vehicle loan or lease,0
1436,"Paypal Holdings, Inc",Vehicle loan or lease,0
1437,"Paypal Holdings, Inc",Vehicle loan or lease,0
1438,"Paypal Holdings, Inc",Vehicle loan or lease,0
1439,"Paypal Holdings, Inc",Vehicle loan or lease,0
1440,"Paypal Holdings, Inc",Mortgage,2
1441,"Paypal Holdings, Inc",Mortgage,0
1442,"Paypal Holdings, Inc",Mortgage,0
1443,"Paypal Holdings, Inc",Mortgage,0
1444,"Paypal Holdings, Inc",Mortgage,0
1445,"Paypal Holdings, Inc",Mortgage,0
1446,"Paypal Holdings, Inc",Mortgage,0
1447,"Paypal Holdings, Inc",Mortgage,0
1448,"Paypal Holdings, Inc",Mortgage,0
1449,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",25
1450,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",0
1451,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",7
1452,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",12
1453,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",0
1454,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",0
1455,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",0
1456,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",0
1457,"Paypal Holdings, Inc","Payday loan, title loan, or personal loan",0
1458,"Paypal Holdings, Inc",Bank account or service,426
1459,"Paypal Holdings, Inc",Bank account or service,0
1460,"Paypal Holdings, Inc",Bank account or service,144
1461,"Paypal Holdings, Inc",Bank account or service,228
1462,"Paypal Holdings, Inc",Bank account or service,0
1463,"Paypal Holdings, Inc",Bank account or service,4
1464,"Paypal Holdings, Inc",Bank account or service,0
1465,"Paypal Holdings, Inc",Bank account or service,0
1466,"Paypal Holdings, Inc",Bank account or service,0
1467,"Paypal Holdings, Inc",Credit card,417
1468,"Paypal Holdings, Inc",Credit card,0
1469,"Paypal Holdings, Inc",Credit card,148
1470,"Paypal Holdings, Inc",Credit card,107
1471,"Paypal Holdings, Inc",Credit card,0
1472,"Paypal Holdings, Inc",Credit card,0
