Company,Product,Total Complaints
Resurgent Capital Services L.P.,Vehicle loan or lease,0
Resurgent Capital Services L.P.,Mortgage,0
Resurgent Capital Services L.P.,Mortgage,6
Resurgent Capital Services L.P.,Mortgage,10
Resurgent Capital Services L.P.,Mortgage,3
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",3
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",1
Resurgent Capital Services L.P.,"Payday loan, title loan, or personal loan",0
Resurgent Capital Services L.P.,Bank account or service,0
Resurgent Capital Services L.P.,Bank account or service,0
Resurgent Capital Services L.P.,Bank account or service,0
Resurgent Capital Services L.P.,Bank account or service,0
Resurgent Capital Services L.P.,Credit card,0
Resurgent Capital Services L.P.,Credit card,3
Resurgent Capital Services L.P.,Credit card,3
Resurgent Capital Services L.P.,Credit card,1
Resurgent Capital Services L.P.,Credit reporting,0
Resurgent Capital Services L.P.,Credit reporting,1
Resurgent Capital Services L.P.,Credit reporting,4
Resurgent Capital Services L.P.,Credit reporting,0
Resurgent Capital Services L.P.,Consumer Loan,0
Resurgent Capital Services L.P.,Consumer Loan,3
Resurgent Capital Services L.P.,Consumer Loan,2
Resurgent Capital Services L.P.,Consumer Loan,1
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Prepaid card,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Money transfers,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Other financial service,0
Resurgent Capital Services L.P.,Payday loan,0
Resurgent Capital Services L.P.,Payday loan,0
Resurgent Capital Services L.P.,Payday loan,0
Resurgent Capital Services L.P.,Payday loan,0
ERC,Checking or savings account,0
ERC,Checking or savings account,0
ERC,Checking or savings account,0
ERC,Checking or savings account,0
ERC,Credit card or prepaid card,0
ERC,Credit card or prepaid card,0
ERC,Credit card or prepaid card,1
ERC,Credit card or prepaid card,0
ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
ERC,"Credit reporting, credit repair services, or other personal consumer reports",70
ERC,"Credit reporting, credit repair services, or other personal consumer reports",14
ERC,"Credit reporting, credit repair services, or other personal consumer reports",2
ERC,Debt collection,0
ERC,Debt collection,858
ERC,Debt collection,329
ERC,Debt collection,116
ERC,"Money transfer, virtual currency, or money service",0
ERC,"Money transfer, virtual currency, or money service",0
ERC,"Money transfer, virtual currency, or money service",0
ERC,"Money transfer, virtual currency, or money service",0
ERC,Student loan,0
ERC,Student loan,0
ERC,Student loan,0
ERC,Student loan,0
ERC,Vehicle loan or lease,0
ERC,Vehicle loan or lease,0
ERC,Vehicle loan or lease,0
ERC,Vehicle loan or lease,0
ERC,Mortgage,0
ERC,Mortgage,0
ERC,Mortgage,0
ERC,Mortgage,0
ERC,"Payday loan, title loan, or personal loan",0
ERC,"Payday loan, title loan, or personal loan",0
ERC,"Payday loan, title loan, or personal loan",0
ERC,"Payday loan, title loan, or personal loan",0
ERC,Bank account or service,0
ERC,Bank account or service,1
ERC,Bank account or service,1
ERC,Bank account or service,0
ERC,Credit card,0
ERC,Credit card,0
ERC,Credit card,1
ERC,Credit card,0
ERC,Credit reporting,0
ERC,Credit reporting,3
ERC,Credit reporting,2
ERC,Credit reporting,1
ERC,Consumer Loan,0
ERC,Consumer Loan,0
ERC,Consumer Loan,2
ERC,Consumer Loan,0
ERC,Prepaid card,0
ERC,Prepaid card,0
ERC,Prepaid card,0
ERC,Prepaid card,0
ERC,Money transfers,0
ERC,Money transfers,0
ERC,Money transfers,0
ERC,Money transfers,0
ERC,Other financial service,0
ERC,Other financial service,0
ERC,Other financial service,0
ERC,Other financial service,0
ERC,Payday loan,0
ERC,Payday loan,0
ERC,Payday loan,0
ERC,Payday loan,0
ALLY FINANCIAL INC.,Checking or savings account,0
ALLY FINANCIAL INC.,Checking or savings account,65
ALLY FINANCIAL INC.,Checking or savings account,73
ALLY FINANCIAL INC.,Checking or savings account,11
ALLY FINANCIAL INC.,Credit card or prepaid card,0
ALLY FINANCIAL INC.,Credit card or prepaid card,0
ALLY FINANCIAL INC.,Credit card or prepaid card,2
ALLY FINANCIAL INC.,Credit card or prepaid card,0
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",249
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",40
ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",22
ALLY FINANCIAL INC.,Debt collection,0
ALLY FINANCIAL INC.,Debt collection,88
ALLY FINANCIAL INC.,Debt collection,36
ALLY FINANCIAL INC.,Debt collection,15
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",0
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",6
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",8
ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",2
ALLY FINANCIAL INC.,Student loan,0
ALLY FINANCIAL INC.,Student loan,0
ALLY FINANCIAL INC.,Student loan,0
ALLY FINANCIAL INC.,Student loan,0
ALLY FINANCIAL INC.,Vehicle loan or lease,0
ALLY FINANCIAL INC.,Vehicle loan or lease,305
ALLY FINANCIAL INC.,Vehicle loan or lease,123
ALLY FINANCIAL INC.,Vehicle loan or lease,45
ALLY FINANCIAL INC.,Mortgage,0
ALLY FINANCIAL INC.,Mortgage,7
ALLY FINANCIAL INC.,Mortgage,12
ALLY FINANCIAL INC.,Mortgage,0
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",0
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",12
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",8
ALLY FINANCIAL INC.,"Payday loan, title loan, or personal loan",8
ALLY FINANCIAL INC.,Bank account or service,0
ALLY FINANCIAL INC.,Bank account or service,14
ALLY FINANCIAL INC.,Bank account or service,71
ALLY FINANCIAL INC.,Bank account or service,6
ALLY FINANCIAL INC.,Credit card,0
ALLY FINANCIAL INC.,Credit card,0
ALLY FINANCIAL INC.,Credit card,1
ALLY FINANCIAL INC.,Credit card,1
ALLY FINANCIAL INC.,Credit reporting,0
ALLY FINANCIAL INC.,Credit reporting,4
ALLY FINANCIAL INC.,Credit reporting,0
ALLY FINANCIAL INC.,Credit reporting,0
ALLY FINANCIAL INC.,Consumer Loan,0
ALLY FINANCIAL INC.,Consumer Loan,132
ALLY FINANCIAL INC.,Consumer Loan,167
ALLY FINANCIAL INC.,Consumer Loan,33
ALLY FINANCIAL INC.,Prepaid card,0
ALLY FINANCIAL INC.,Prepaid card,0
ALLY FINANCIAL INC.,Prepaid card,0
ALLY FINANCIAL INC.,Prepaid card,0
ALLY FINANCIAL INC.,Money transfers,0
ALLY FINANCIAL INC.,Money transfers,0
ALLY FINANCIAL INC.,Money transfers,1
ALLY FINANCIAL INC.,Money transfers,0
ALLY FINANCIAL INC.,Other financial service,0
ALLY FINANCIAL INC.,Other financial service,1
ALLY FINANCIAL INC.,Other financial service,0
ALLY FINANCIAL INC.,Other financial service,0
ALLY FINANCIAL INC.,Payday loan,0
ALLY FINANCIAL INC.,Payday loan,0
ALLY FINANCIAL INC.,Payday loan,0
ALLY FINANCIAL INC.,Payday loan,0
Santander Consumer USA Holdings Inc.,Checking or savings account,0
Santander Consumer USA Holdings Inc.,Checking or savings account,1
Santander Consumer USA Holdings Inc.,Checking or savings account,1
Santander Consumer USA Holdings Inc.,Checking or savings account,0
Santander Consumer USA Holdings Inc.,Credit card or prepaid card,0
Santander Consumer USA Holdings Inc.,Credit card or prepaid card,3
Santander Consumer USA Holdings Inc.,Credit card or prepaid card,2
Santander Consumer USA Holdings Inc.,Credit card or prepaid card,3
Santander Consumer USA Holdings Inc.,"Credit reporting, credit repair services, or other personal consumer reports",0
Santander Consumer USA Holdings Inc.,"Credit reporting, credit repair services, or other personal consumer reports",259
Santander Consumer USA Holdings Inc.,"Credit reporting, credit repair services, or other personal consumer reports",36
Santander Consumer USA Holdings Inc.,"Credit reporting, credit repair services, or other personal consumer reports",8
Santander Consumer USA Holdings Inc.,Debt collection,0
Santander Consumer USA Holdings Inc.,Debt collection,146
Santander Consumer USA Holdings Inc.,Debt collection,13
Santander Consumer USA Holdings Inc.,Debt collection,7
Santander Consumer USA Holdings Inc.,"Money transfer, virtual currency, or money service",0
Santander Consumer USA Holdings Inc.,"Money transfer, virtual currency, or money service",1
Santander Consumer USA Holdings Inc.,"Money transfer, virtual currency, or money service",1
Santander Consumer USA Holdings Inc.,"Money transfer, virtual currency, or money service",0
Santander Consumer USA Holdings Inc.,Student loan,0
Santander Consumer USA Holdings Inc.,Student loan,0
Santander Consumer USA Holdings Inc.,Student loan,0
Santander Consumer USA Holdings Inc.,Student loan,0
Santander Consumer USA Holdings Inc.,Vehicle loan or lease,0
Santander Consumer USA Holdings Inc.,Vehicle loan or lease,447
Santander Consumer USA Holdings Inc.,Vehicle loan or lease,156
Santander Consumer USA Holdings Inc.,Vehicle loan or lease,47
Santander Consumer USA Holdings Inc.,Mortgage,0
Santander Consumer USA Holdings Inc.,Mortgage,0
Santander Consumer USA Holdings Inc.,Mortgage,4
Santander Consumer USA Holdings Inc.,Mortgage,0
Santander Consumer USA Holdings Inc.,"Payday loan, title loan, or personal loan",0
Santander Consumer USA Holdings Inc.,"Payday loan, title loan, or personal loan",11
Santander Consumer USA Holdings Inc.,"Payday loan, title loan, or personal loan",4
Santander Consumer USA Holdings Inc.,"Payday loan, title loan, or personal loan",2
Santander Consumer USA Holdings Inc.,Bank account or service,0
Santander Consumer USA Holdings Inc.,Bank account or service,1
Santander Consumer USA Holdings Inc.,Bank account or service,5
Santander Consumer USA Holdings Inc.,Bank account or service,1
Santander Consumer USA Holdings Inc.,Credit card,0
Santander Consumer USA Holdings Inc.,Credit card,0
Santander Consumer USA Holdings Inc.,Credit card,0
Santander Consumer USA Holdings Inc.,Credit card,0
Santander Consumer USA Holdings Inc.,Credit reporting,0
Santander Consumer USA Holdings Inc.,Credit reporting,3
Santander Consumer USA Holdings Inc.,Credit reporting,2
Santander Consumer USA Holdings Inc.,Credit reporting,0
Santander Consumer USA Holdings Inc.,Consumer Loan,0
Santander Consumer USA Holdings Inc.,Consumer Loan,160
Santander Consumer USA Holdings Inc.,Consumer Loan,157
Santander Consumer USA Holdings Inc.,Consumer Loan,22
Santander Consumer USA Holdings Inc.,Prepaid card,0
Santander Consumer USA Holdings Inc.,Prepaid card,0
Santander Consumer USA Holdings Inc.,Prepaid card,0
Santander Consumer USA Holdings Inc.,Prepaid card,0
Santander Consumer USA Holdings Inc.,Money transfers,0
Santander Consumer USA Holdings Inc.,Money transfers,0
Santander Consumer USA Holdings Inc.,Money transfers,0
Santander Consumer USA Holdings Inc.,Money transfers,0
Santander Consumer USA Holdings Inc.,Other financial service,0
Santander Consumer USA Holdings Inc.,Other financial service,0
Santander Consumer USA Holdings Inc.,Other financial service,0
Santander Consumer USA Holdings Inc.,Other financial service,0
Santander Consumer USA Holdings Inc.,Payday loan,0
Santander Consumer USA Holdings Inc.,Payday loan,0
Santander Consumer USA Holdings Inc.,Payday loan,0
Santander Consumer USA Holdings Inc.,Payday loan,0
"SELECT PORTFOLIO SERVICING, INC.",Checking or savings account,0
"SELECT PORTFOLIO SERVICING, INC.",Checking or savings account,0
"SELECT PORTFOLIO SERVICING, INC.",Checking or savings account,0
"SELECT PORTFOLIO SERVICING, INC.",Checking or savings account,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card or prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card or prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card or prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.",Credit card or prepaid card,0
"SELECT PORTFOLIO SERVICING, INC.","Credit reporting, credit repair services, or other personal consumer reports",0
"SELECT PORTFOLIO SERVICING, INC.","Credit reporting, credit repair services, or other personal consumer reports",27
"SELECT PORTFOLIO SERVICING, INC.","Credit reporting, credit repair services, or other personal consumer reports",25
"SELECT PORTFOLIO SERVICING, INC.","Credit reporting, credit repair services, or other personal consumer reports",9
"SELECT PORTFOLIO SERVICING, INC.",Debt collection,0
"SELECT PORTFOLIO SERVICING, INC.",Debt collection,37
"SELECT PORTFOLIO SERVICING, INC.",Debt collection,69
"SELECT PORTFOLIO SERVICING, INC.",Debt collection,11
"SELECT PORTFOLIO SERVICING, INC.","Money transfer, virtual currency, or money service",0
"SELECT PORTFOLIO SERVICING, INC.","Money transfer, virtual currency, or money service",1
"SELECT PORTFOLIO SERVICING, INC.","Money transfer, virtual currency, or money service",1
"SELECT PORTFOLIO SERVICING, INC.","Money transfer, virtual currency, or money service",0
"SELECT PORTFOLIO SERVICING, INC.",Student loan,0
"SELECT PORTFOLIO SERVICING, INC.",Student loan,0
"SELECT PORTFOLIO SERVICING, INC.",Student loan,1
"SELECT PORTFOLIO SERVICING, INC.",Student loan,0
"SELECT PORTFOLIO SERVICING, INC.",Vehicle loan or lease,0
"SELECT PORTFOLIO SERVICING, INC.",Vehicle loan or lease,0
"SELECT PORTFOLIO SERVICING, INC.",Vehicle loan or lease,0
"SELECT PORTFOLIO SERVICING, INC.",Vehicle loan or lease,0
"SELECT PORTFOLIO SERVICING, INC.",Mortgage,0
"SELECT PORTFOLIO SERVICING, INC.",Mortgage,601
"SELECT PORTFOLIO SERVICING, INC.",Mortgage,1152
"SELECT PORTFOLIO SERVICING, INC.",Mortgage,192
"SELECT PORTFOLIO SERVICING, INC.","Payday loan, title loan, or personal loan",0
"SELECT PORTFOLIO SERVICING, INC.","Payday loan, title loan, or personal loan",0
"SELECT PORTFOLIO SERVICING, INC.","Payday loan, title loan, or personal loan",0
"SELECT PORTFOLIO SERVICING, INC.","Payday loan, title loan, or personal loan",0
