Company,Product,Total Complaints
PNC Bank N.A.,Money transfers,39
PNC Bank N.A.,Other financial service,12
PNC Bank N.A.,Payday loan,4
PORTFOLIO RECOVERY ASSOCIATES INC,Checking or savings account,1
PORTFOLIO RECOVERY ASSOCIATES INC,Credit card or prepaid card,127
PORTFOLIO RECOVERY ASSOCIATES INC,"Credit reporting, credit repair services, or other personal consumer reports",3047
PORTFOLIO RECOVERY ASSOCIATES INC,Debt collection,17291
PORTFOLIO RECOVERY ASSOCIATES INC,"Money transfer, virtual currency, or money service",3
PORTFOLIO RECOVERY ASSOCIATES INC,Student loan,2
PORTFOLIO RECOVERY ASSOCIATES INC,Vehicle loan or lease,8
PORTFOLIO RECOVERY ASSOCIATES INC,Mortgage,11
PORTFOLIO RECOVERY ASSOCIATES INC,"Payday loan, title loan, or personal loan",2
PORTFOLIO RECOVERY ASSOCIATES INC,Bank account or service,9
PORTFOLIO RECOVERY ASSOCIATES INC,Credit card,103
PORTFOLIO RECOVERY ASSOCIATES INC,Credit reporting,80
PORTFOLIO RECOVERY ASSOCIATES INC,Consumer Loan,47
PORTFOLIO RECOVERY ASSOCIATES INC,Prepaid card,1
PORTFOLIO RECOVERY ASSOCIATES INC,Money transfers,0
PORTFOLIO RECOVERY ASSOCIATES INC,Other financial service,0
PORTFOLIO RECOVERY ASSOCIATES INC,Payday loan,4
AMERICAN EXPRESS COMPANY,Checking or savings account,661
AMERICAN EXPRESS COMPANY,Credit card or prepaid card,10275
AMERICAN EXPRESS COMPANY,"Credit reporting, credit repair services, or other personal consumer reports",2520
AMERICAN EXPRESS COMPANY,Debt collection,2024
AMERICAN EXPRESS COMPANY,"Money transfer, virtual currency, or money service",112
AMERICAN EXPRESS COMPANY,Student loan,1
AMERICAN EXPRESS COMPANY,Vehicle loan or lease,2
AMERICAN EXPRESS COMPANY,Mortgage,11
AMERICAN EXPRESS COMPANY,"Payday loan, title loan, or personal loan",56
AMERICAN EXPRESS COMPANY,Bank account or service,447
AMERICAN EXPRESS COMPANY,Credit card,6669
AMERICAN EXPRESS COMPANY,Credit reporting,54
AMERICAN EXPRESS COMPANY,Consumer Loan,17
AMERICAN EXPRESS COMPANY,Prepaid card,638
AMERICAN EXPRESS COMPANY,Money transfers,11
AMERICAN EXPRESS COMPANY,Other financial service,21
AMERICAN EXPRESS COMPANY,Payday loan,0
NATIONSTAR MORTGAGE,Checking or savings account,10
NATIONSTAR MORTGAGE,Credit card or prepaid card,7
NATIONSTAR MORTGAGE,"Credit reporting, credit repair services, or other personal consumer reports",745
NATIONSTAR MORTGAGE,Debt collection,643
NATIONSTAR MORTGAGE,"Money transfer, virtual currency, or money service",14
NATIONSTAR MORTGAGE,Student loan,3
NATIONSTAR MORTGAGE,Vehicle loan or lease,1
NATIONSTAR MORTGAGE,Mortgage,24408
NATIONSTAR MORTGAGE,"Payday loan, title loan, or personal loan",8
NATIONSTAR MORTGAGE,Bank account or service,29
NATIONSTAR MORTGAGE,Credit card,0
NATIONSTAR MORTGAGE,Credit reporting,16
NATIONSTAR MORTGAGE,Consumer Loan,13
NATIONSTAR MORTGAGE,Prepaid card,0
NATIONSTAR MORTGAGE,Money transfers,1
NATIONSTAR MORTGAGE,Other financial service,1
NATIONSTAR MORTGAGE,Payday loan,0
U.S. BANCORP,Checking or savings account,4361
U.S. BANCORP,Credit card or prepaid card,5641
U.S. BANCORP,"Credit reporting, credit repair services, or other personal consumer reports",1675
U.S. BANCORP,Debt collection,1189
U.S. BANCORP,"Money transfer, virtual currency, or money service",340
U.S. BANCORP,Student loan,89
U.S. BANCORP,Vehicle loan or lease,536
U.S. BANCORP,Mortgage,7086
U.S. BANCORP,"Payday loan, title loan, or personal loan",198
U.S. BANCORP,Bank account or service,3726
U.S. BANCORP,Credit card,2448
U.S. BANCORP,Credit reporting,62
U.S. BANCORP,Consumer Loan,574
U.S. BANCORP,Prepaid card,322
U.S. BANCORP,Money transfers,34
U.S. BANCORP,Other financial service,16
U.S. BANCORP,Payday loan,18
Ocwen Financial Corporation,Checking or savings account,6
Ocwen Financial Corporation,Credit card or prepaid card,7
Ocwen Financial Corporation,"Credit reporting, credit repair services, or other personal consumer reports",682
Ocwen Financial Corporation,Debt collection,984
Ocwen Financial Corporation,"Money transfer, virtual currency, or money service",17
Ocwen Financial Corporation,Student loan,2
Ocwen Financial Corporation,Vehicle loan or lease,2
Ocwen Financial Corporation,Mortgage,30703
Ocwen Financial Corporation,"Payday loan, title loan, or personal loan",3
Ocwen Financial Corporation,Bank account or service,62
Ocwen Financial Corporation,Credit card,6
Ocwen Financial Corporation,Credit reporting,42
Ocwen Financial Corporation,Consumer Loan,32
Ocwen Financial Corporation,Prepaid card,0
Ocwen Financial Corporation,Money transfers,2
Ocwen Financial Corporation,Other financial service,3
Ocwen Financial Corporation,Payday loan,1
"Navient Solutions, LLC.",Checking or savings account,4
"Navient Solutions, LLC.",Credit card or prepaid card,15
"Navient Solutions, LLC.","Credit reporting, credit repair services, or other personal consumer reports",2530
"Navient Solutions, LLC.",Debt collection,3671
"Navient Solutions, LLC.","Money transfer, virtual currency, or money service",10
"Navient Solutions, LLC.",Student loan,30053
"Navient Solutions, LLC.",Vehicle loan or lease,2
"Navient Solutions, LLC.",Mortgage,9
"Navient Solutions, LLC.","Payday loan, title loan, or personal loan",22
"Navient Solutions, LLC.",Bank account or service,15
"Navient Solutions, LLC.",Credit card,0
"Navient Solutions, LLC.",Credit reporting,31
"Navient Solutions, LLC.",Consumer Loan,36
"Navient Solutions, LLC.",Prepaid card,0
"Navient Solutions, LLC.",Money transfers,0
"Navient Solutions, LLC.",Other financial service,7
"Navient Solutions, LLC.",Payday loan,1
SYNCHRONY FINANCIAL,Checking or savings account,515
SYNCHRONY FINANCIAL,Credit card or prepaid card,12009
SYNCHRONY FINANCIAL,"Credit reporting, credit repair services, or other personal consumer reports",6642
SYNCHRONY FINANCIAL,Debt collection,6522
SYNCHRONY FINANCIAL,"Money transfer, virtual currency, or money service",387
SYNCHRONY FINANCIAL,Student loan,2
SYNCHRONY FINANCIAL,Vehicle loan or lease,60
SYNCHRONY FINANCIAL,Mortgage,216
SYNCHRONY FINANCIAL,"Payday loan, title loan, or personal loan",458
SYNCHRONY FINANCIAL,Bank account or service,746
SYNCHRONY FINANCIAL,Credit card,8779
SYNCHRONY FINANCIAL,Credit reporting,183
SYNCHRONY FINANCIAL,Consumer Loan,682
SYNCHRONY FINANCIAL,Prepaid card,20
SYNCHRONY FINANCIAL,Money transfers,9
SYNCHRONY FINANCIAL,Other financial service,4
SYNCHRONY FINANCIAL,Payday loan,42
CAPITAL ONE FINANCIAL CORPORATION,Checking or savings account,4841
CAPITAL ONE FINANCIAL CORPORATION,Credit card or prepaid card,19498
CAPITAL ONE FINANCIAL CORPORATION,"Credit reporting, credit repair services, or other personal consumer reports",14037
CAPITAL ONE FINANCIAL CORPORATION,Debt collection,8195
CAPITAL ONE FINANCIAL CORPORATION,"Money transfer, virtual currency, or money service",461
CAPITAL ONE FINANCIAL CORPORATION,Student loan,5
CAPITAL ONE FINANCIAL CORPORATION,Vehicle loan or lease,1534
CAPITAL ONE FINANCIAL CORPORATION,Mortgage,1229
CAPITAL ONE FINANCIAL CORPORATION,"Payday loan, title loan, or personal loan",156
CAPITAL ONE FINANCIAL CORPORATION,Bank account or service,2445
CAPITAL ONE FINANCIAL CORPORATION,Credit card,12920
CAPITAL ONE FINANCIAL CORPORATION,Credit reporting,363
CAPITAL ONE FINANCIAL CORPORATION,Consumer Loan,1212
CAPITAL ONE FINANCIAL CORPORATION,Prepaid card,21
CAPITAL ONE FINANCIAL CORPORATION,Money transfers,31
CAPITAL ONE FINANCIAL CORPORATION,Other financial service,18
CAPITAL ONE FINANCIAL CORPORATION,Payday loan,5
"CITIBANK, N.A.",Checking or savings account,7561
"CITIBANK, N.A.",Credit card or prepaid card,19909
"CITIBANK, N.A.","Credit reporting, credit repair services, or other personal consumer reports",6877
"CITIBANK, N.A.",Debt collection,6505
"CITIBANK, N.A.","Money transfer, virtual currency, or money service",616
"CITIBANK, N.A.",Student loan,734
"CITIBANK, N.A.",Vehicle loan or lease,33
"CITIBANK, N.A.",Mortgage,10212
"CITIBANK, N.A.","Payday loan, title loan, or personal loan",179
"CITIBANK, N.A.",Bank account or service,4450
"CITIBANK, N.A.",Credit card,16817
"CITIBANK, N.A.",Credit reporting,267
"CITIBANK, N.A.",Consumer Loan,765
"CITIBANK, N.A.",Prepaid card,206
"CITIBANK, N.A.",Money transfers,102
"CITIBANK, N.A.",Other financial service,34
"CITIBANK, N.A.",Payday loan,22
JPMORGAN CHASE & CO.,Checking or savings account,16077
JPMORGAN CHASE & CO.,Credit card or prepaid card,14011
JPMORGAN CHASE & CO.,"Credit reporting, credit repair services, or other personal consumer reports",6247
JPMORGAN CHASE & CO.,Debt collection,3862
JPMORGAN CHASE & CO.,"Money transfer, virtual currency, or money service",2458
JPMORGAN CHASE & CO.,Student loan,873
JPMORGAN CHASE & CO.,Vehicle loan or lease,1158
JPMORGAN CHASE & CO.,Mortgage,23482
JPMORGAN CHASE & CO.,"Payday loan, title loan, or personal loan",196
JPMORGAN CHASE & CO.,Bank account or service,9816
JPMORGAN CHASE & CO.,Credit card,10373
JPMORGAN CHASE & CO.,Credit reporting,192
JPMORGAN CHASE & CO.,Consumer Loan,1029
JPMORGAN CHASE & CO.,Prepaid card,32
JPMORGAN CHASE & CO.,Money transfers,228
JPMORGAN CHASE & CO.,Other financial service,60
JPMORGAN CHASE & CO.,Payday loan,6
WELLS FARGO & COMPANY,Checking or savings account,13603
WELLS FARGO & COMPANY,Credit card or prepaid card,4823
WELLS FARGO & COMPANY,"Credit reporting, credit repair services, or other personal consumer reports",5640
WELLS FARGO & COMPANY,Debt collection,3799
WELLS FARGO & COMPANY,"Money transfer, virtual currency, or money service",2158
WELLS FARGO & COMPANY,Student loan,1855
WELLS FARGO & COMPANY,Vehicle loan or lease,1506
WELLS FARGO & COMPANY,Mortgage,41895
WELLS FARGO & COMPANY,"Payday loan, title loan, or personal loan",747
WELLS FARGO & COMPANY,Bank account or service,13333
WELLS FARGO & COMPANY,Credit card,4041
WELLS FARGO & COMPANY,Credit reporting,157
WELLS FARGO & COMPANY,Consumer Loan,2528
WELLS FARGO & COMPANY,Prepaid card,36
WELLS FARGO & COMPANY,Money transfers,254
WELLS FARGO & COMPANY,Other financial service,57
WELLS FARGO & COMPANY,Payday loan,23
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,18348
"BANK OF AMERICA, NATIONAL ASSOCIATION",Credit card or prepaid card,11967
"BANK OF AMERICA, NATIONAL ASSOCIATION","Credit reporting, credit repair services, or other personal consumer reports",5304
"BANK OF AMERICA, NATIONAL ASSOCIATION",Debt collection,3923
"BANK OF AMERICA, NATIONAL ASSOCIATION","Money transfer, virtual currency, or money service",2195
"BANK OF AMERICA, NATIONAL ASSOCIATION",Student loan,140
"BANK OF AMERICA, NATIONAL ASSOCIATION",Vehicle loan or lease,470
"BANK OF AMERICA, NATIONAL ASSOCIATION",Mortgage,46069
"BANK OF AMERICA, NATIONAL ASSOCIATION","Payday loan, title loan, or personal loan",283
"BANK OF AMERICA, NATIONAL ASSOCIATION",Bank account or service,13917
"BANK OF AMERICA, NATIONAL ASSOCIATION",Credit card,9111
"BANK OF AMERICA, NATIONAL ASSOCIATION",Credit reporting,126
"BANK OF AMERICA, NATIONAL ASSOCIATION",Consumer Loan,681
"BANK OF AMERICA, NATIONAL ASSOCIATION",Prepaid card,55
"BANK OF AMERICA, NATIONAL ASSOCIATION",Money transfers,271
"BANK OF AMERICA, NATIONAL ASSOCIATION",Other financial service,73
"BANK OF AMERICA, NATIONAL ASSOCIATION",Payday loan,14
Experian Information Solutions Inc.,Checking or savings account,37
Experian Information Solutions Inc.,Credit card or prepaid card,415
Experian Information Solutions Inc.,"Credit reporting, credit repair services, or other personal consumer reports",261218
Experian Information Solutions Inc.,Debt collection,6380
Experian Information Solutions Inc.,"Money transfer, virtual currency, or money service",28
Experian Information Solutions Inc.,Student loan,70
Experian Information Solutions Inc.,Vehicle loan or lease,143
Experian Information Solutions Inc.,Mortgage,109
Experian Information Solutions Inc.,"Payday loan, title loan, or personal loan",62
Experian Information Solutions Inc.,Bank account or service,22
Experian Information Solutions Inc.,Credit card,50
Experian Information Solutions Inc.,Credit reporting,45378
Experian Information Solutions Inc.,Consumer Loan,40
Experian Information Solutions Inc.,Prepaid card,0
Experian Information Solutions Inc.,Money transfers,0
Experian Information Solutions Inc.,Other financial service,7
Experian Information Solutions Inc.,Payday loan,2
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Checking or savings account,24
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Credit card or prepaid card,322
"TRANSUNION INTERMEDIATE HOLDINGS, INC.","Credit reporting, credit repair services, or other personal consumer reports",290172
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Debt collection,6504
"TRANSUNION INTERMEDIATE HOLDINGS, INC.","Money transfer, virtual currency, or money service",17
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Student loan,78
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Vehicle loan or lease,109
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Mortgage,99
"TRANSUNION INTERMEDIATE HOLDINGS, INC.","Payday loan, title loan, or personal loan",48
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Bank account or service,13
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Credit card,20
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Credit reporting,39821
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Consumer Loan,28
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Prepaid card,0
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Money transfers,0
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Other financial service,1
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Payday loan,1
"EQUIFAX, INC.",Checking or savings account,19
"EQUIFAX, INC.",Credit card or prepaid card,360
"EQUIFAX, INC.","Credit reporting, credit repair services, or other personal consumer reports",377417
"EQUIFAX, INC.",Debt collection,6979
"EQUIFAX, INC.","Money transfer, virtual currency, or money service",13
"EQUIFAX, INC.",Student loan,78
"EQUIFAX, INC.",Vehicle loan or lease,95
"EQUIFAX, INC.",Mortgage,137
"EQUIFAX, INC.","Payday loan, title loan, or personal loan",37
"EQUIFAX, INC.",Bank account or service,14
"EQUIFAX, INC.",Credit card,46
